输入文件：我的最佳.xlsx
组别（14个）：两栖、动物、大地、天空、妖精、巨灵、拟人、昆虫、机械、植物、海洋、软体、魔力、龙

共 158 种组合（按星光值从高到低排序）

    1. 星光值=  420  古钟蛇(两栖+动物), 仪使者(妖精+大地), 小甲虫(昆虫+天空), 大头骨龙(巨灵+龙), 机械方方(拟人+机械), 小灵菇(植物+魔力), 墨鱿士(软体+海洋)
  120. 星光值=  248  波波螺(两栖+大地), 猴麦仔(动物+机械), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  121. 星光值=  248  波波螺(两栖+大地), 猴麦仔(动物+机械), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  122. 星光值=  248  波波螺(两栖+大地), 小鼓象(动物+机械), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  123. 星光值=  248  波波螺(两栖+大地), 小鼓象(动物+机械), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  124. 星光值=  248  波波螺(两栖+大地), 月牙雪熊(巨灵+动物), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  125. 星光值=  248  波波螺(两栖+大地), 月牙雪熊(巨灵+动物), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  126. 星光值=  248  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小甲虫(昆虫+天空), 小丑豆豆(妖精+拟人), 大头骨龙(巨灵+龙), 小灵菇(植物+魔力)
  127. 星光值=  248  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小甲虫(昆虫+天空), 牵线木偶(妖精+拟人), 大头骨龙(巨灵+龙), 小灵菇(植物+魔力)
  128. 星光值=  248  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小甲虫(昆虫+天空), 小丑豆豆(妖精+拟人), 大头骨龙(巨灵+龙), 小灵菇(植物+魔力)
  129. 星光值=  248  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小甲虫(昆虫+天空), 牵线木偶(妖精+拟人), 大头骨龙(巨灵+龙), 小灵菇(植物+魔力)
  130. 星光值=  248  加油海葵(妖精+两栖), 炫光迪迪(动物+大地), 小翼龙(天空+龙), 空空颅(巨灵+魔力), 机械方方(拟人+机械), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  131. 星光值=  236  花怨鳗(两栖+海洋), 小狮鹫(天空+动物), 矿晶虫(软体+大地), 小丑豆豆(妖精+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力)
  132. 星光值=  236  花怨鳗(两栖+海洋), 小狮鹫(天空+动物), 矿晶虫(软体+大地), 牵线木偶(妖精+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力)
  133. 星光值=  228  波波螺(两栖+大地), 猴麦仔(动物+机械), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  134. 星光值=  228  波波螺(两栖+大地), 猴麦仔(动物+机械), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  135. 星光值=  228  波波螺(两栖+大地), 小鼓象(动物+机械), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  136. 星光值=  228  波波螺(两栖+大地), 小鼓象(动物+机械), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物), 墨鱿士(软体+海洋)
  137. 星光值=  228  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 小灵菇(植物+魔力)
  138. 星光值=  228  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 小灵菇(植物+魔力)
  139. 星光值=  228  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 小灵菇(植物+魔力)
  140. 星光值=  228  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 小灵菇(植物+魔力)
  141. 星光值=  228  锤头鹤(两栖+天空), 炫光迪迪(动物+大地), 小丑豆豆(妖精+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  142. 星光值=  228  锤头鹤(两栖+天空), 炫光迪迪(动物+大地), 牵线木偶(妖精+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  143. 星光值=  228  加油海葵(妖精+两栖), 炫光迪迪(动物+大地), 小翼龙(天空+龙), 白发懒人(巨灵+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  144. 星光值=  228  加油海葵(妖精+两栖), 炫光迪迪(动物+大地), 厉毒小萝(天空+拟人), 大头骨龙(巨灵+龙), 柴渣虫(昆虫+植物), 烟花团(机械+魔力), 墨鱿士(软体+海洋)
  145. 星光值=  216  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物)
  146. 星光值=  216  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物)
  147. 星光值=  216  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物)
  148. 星光值=  216  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 火花(魔力+巨灵), 柴渣虫(昆虫+植物)
  149. 星光值=  216  花怨鳗(两栖+海洋), 月牙雪熊(巨灵+动物), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力)
  150. 星光值=  216  花怨鳗(两栖+海洋), 月牙雪熊(巨灵+动物), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 柴渣虫(昆虫+植物), 烟花团(机械+魔力)
  151. 星光值=  208  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 小甲虫(昆虫+天空), 小丑豆豆(妖精+拟人), 大头骨龙(巨灵+龙), 烟花团(机械+魔力), 伊贝儿(植物+软体)
  152. 星光值=  208  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 小甲虫(昆虫+天空), 牵线木偶(妖精+拟人), 大头骨龙(巨灵+龙), 烟花团(机械+魔力), 伊贝儿(植物+软体)
  153. 星光值=  196  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物)
  154. 星光值=  196  花怨鳗(两栖+海洋), 猴麦仔(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物)
  155. 星光值=  196  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物)
  156. 星光值=  196  花怨鳗(两栖+海洋), 小鼓象(动物+机械), 矿晶虫(软体+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 空空颅(巨灵+魔力), 柴渣虫(昆虫+植物)
  157. 星光值=  188  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 小翼龙(天空+龙), 小丑豆豆(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 烟花团(机械+魔力), 伊贝儿(植物+软体)
  158. 星光值=  188  花怨鳗(两栖+海洋), 炫光迪迪(动物+大地), 小翼龙(天空+龙), 牵线木偶(妖精+拟人), 矮脚爬爬(巨灵+昆虫), 烟花团(机械+魔力), 伊贝儿(植物+软体)
